"bez";"spr";"spr24"
12;"12046";"12046"
23;"23061";"23061"
22;"22081";"22081"
2;"02069";"02069"
14;"14023";"14027"
14;"14060";"14065"
16;"16031";"16031"
21;"21068";"21068"
17;"17029";"17029"
13;"13021";"13005"
7;"07028";"07009"
3;"03017";"03017"
3;"03020";"03020"
19;"19033";"19033"
11;"11041";"11041"
18;"18017";"18017"
10;"10001";"10001"
4;"04023";"04023"
21;"21072";"21072"
20;"20058";"20058"
10;"10036";"10036"
11;"11061";"11061"
6;"06025";"06025"
21;"21062";"21062"
17;"17016";"17016"
11;"11028";"11028"
22;"22024";"22024"
16;"16015";"16015"
18;"18030";"18031"
20;"20048";"20048"
11;"11058";"11058"
2;"02026";"02026"
11;"11012";"11012"
10;"10062";"10062"
13;"13025";"13025"
5;"05038";"05038"
2;"02011";"02011"
20;"20015";"20015"
10;"10131";"10131"
15;"15038";"15038"
20;"20021";"20021"
10;"10073";"10039"
11;"11045";"11045"
8;"08005";"08005"
11;"11043";"11043"
23;"23015";"23015"
5;"05024";"05024"
17;"17003";"17003"
21;"21076";"21076"
19;"19040";"19040"
16;"16076";"16076"
13;"13020";"13021"
9;"09004";"09004"
10;"10075";"10075"
10;"10047";"10047"
15;"15021";"15021"
9;"09014";"09014"
16;"16018";"16018"
10;"10068";"10068"
2;"02045";"02045"
10;"10120";"10120"
2;"02057";"02057"
22;"22020";"22023"
15;"15025";"15025"
12;"12023";"12023"
23;"23081";"23081"
17;"17014";"17014"
21;"21123";"21123"
22;"22151";"22151"
22;"22061";"22061"
3;"03057";"03057"
2;"02023";"02023"
12;"12029";"12029"
3;"03064";"03064"
19;"19045";"19045"
5;"05036";"05036"
23;"23041";"23041"
13;"13041";"13031"
12;"12030";"12030"
10;"10116";"10116"
22;"22032";"22032"
11;"11066";"11066"
10;"10094";"10094"
17;"17034";"17034"
10;"10127";"10127"
13;"13035";"13036"
10;"10137";"10137"
18;"18012";"18012"
14;"14048";"14077"
10;"10059";"10059"
22;"22091";"22091"
23;"23037";"23037"
9;"09034";"09034"
21;"21064";"21064"
18;"18037";"18037"
17;"17031";"17031"
11;"11011";"11011"
23;"23077";"23077"
3;"03062";"03062"
11;"11053";"11053"
12;"12027";"12027"
23;"23035";"23035"
1;"01011";"01010"
7;"07002";"07002"
20;"20042";"20042"
7;"07010";"07010"
13;"13019";"13020"
21;"21028";"21028"
22;"22106";"22106"
1;"01007";"01009"
20;"20040";"20040"
20;"20041";"20041"
3;"03058";"03058"
6;"06018";"06018"
15;"15033";"15033"
20;"20023";"20023"
16;"16077";"16073"
17;"17005";"17005"
17;"17013";"17013"
9;"09002";"09002"
7;"07029";"07004"
