"bez";"spr";"spr24"
23;"23072";"23072"
11;"11053";"11053"
14;"14001";"14001"
19;"19026";"19026"
22;"22032";"22032"
7;"07008";"07008"
11;"11039";"11039"
1;"01004";"01011"
21;"21126";"21126"
6;"06021";"06021"
21;"21081";"21081"
15;"15033";"15033"
12;"12037";"12037"
4;"04011";"04011"
22;"22110";"22110"
20;"20017";"20017"
21;"21069";"21069"
20;"20053";"20053"
16;"16036";"16036"
22;"22114";"22114"
2;"02063";"02063"
17;"17024";"17024"
4;"04016";"04016"
23;"23070";"23070"
2;"02029";"02029"
21;"21072";"21072"
2;"02034";"02034"
22;"22056";"22056"
10;"10080";"10080"
4;"04019";"04019"
13;"13012";"13009"
3;"03049";"03049"
19;"19013";"19013"
11;"11024";"11024"
7;"07028";"07009"
22;"22027";"22027"
23;"23088";"23088"
3;"03011";"03011"
2;"02015";"02015"
10;"10036";"10036"
14;"14061";"14040"
16;"16069";"16069"
22;"22033";"22156"
23;"23095";"23095"
21;"21078";"21078"
12;"12003";"12003"
20;"20045";"20045"
3;"03031";"03031"
22;"22121";"22121"
2;"02007";"02007"
9;"09034";"09034"
22;"22044";"22044"
10;"10057";"10057"
16;"16039";"16039"
18;"18002";"18002"
14;"14014";"14021"
13;"13028";"13027"
3;"03047";"03047"
5;"05007";"05007"
10;"10130";"10143"
21;"21010";"21010"
3;"03016";"03016"
22;"22055";"22055"
13;"13022";"13030"
19;"19030";"19030"
23;"23053";"23054"
5;"05002";"05002"
9;"09021";"09021"
22;"22081";"22081"
14;"14024";"14028"
15;"15025";"15025"
10;"10106";"10115"
12;"12045";"12045"
10;"10020";"10020"
18;"18032";"18032"
22;"22093";"22093"
6;"06006";"06006"
22;"22122";"22122"
21;"21115";"21115"
3;"03051";"03051"
15;"15014";"15014"
10;"10120";"10120"
22;"22045";"22045"
22;"22085";"22085"
19;"19003";"19003"
16;"16065";"16065"
3;"03043";"03043"
22;"22145";"22145"
17;"17005";"17005"
21;"21013";"21013"
10;"10030";"10030"
22;"22062";"22062"
21;"21029";"21029"
16;"16072";"16072"
19;"19053";"19053"
11;"11065";"11065"
23;"23029";"23029"
14;"14053";"14013"
