"id";"name";"nw_eu24";"nw_eu19";"nw_nrw19";"nw_nrw17";"mean_nw"
1503;"Meiselmarkt";0,528031646432956;0,576115834218916;0,52619710836981;0,456605273618656;0,521737465660085
1504;"Nibelungenviertel";0,503277972027972;0,567866478986527;0,537645378494185;0,455581761006289;0,516092897628743
1505;"Rudolfsheim";0,540561322568243;0,541184842554706;0,495940826267364;0,416166607836216;0,498463399806632
1506;"Schmelz";0,589937973811165;0,604086229086229;0,525150905432596;0,444046134663342;0,540805310748333
1507;"Sechshaus";0,561909377271626;0,577519379844961;0,530076997112608;0,440048250904704;0,527388501283475
1601;"Neulerchenfeld und Brunnenviertel";0,494666425601157;0,55762572135202;0,534934133733533;0,468363577966918;0,513897464663407
1602;"Herbststraße";0,583853405922188;0,603203494721514;0,52719459791283;0,464898595943838;0,544787523625093
1603;"Ottakring (Zentrum)";0,505730145939654;0,529755354270719;0,491098305667842;0,411063520284467;0,484411831540671
1604;"Sandleiten";0,580532518550851;0,545800671892497;0,488843813387424;0,399550561797753;0,503681891407131
1605;"Wilheminenberg";0,424649983463786;0,471704111911827;0,433751743375174;0,353259715438522;0,420841388547327
1701;"Dornbach";0,426276987888362;0,48677112766504;0,465807901789574;0,388565060860621;0,441855269550899
1702;"Hernals (Zentrum)";0,467221051432477;0,540278979238754;0,523359895207947;0,446655376799323;0,494378825669625
1703;"Neuwaldegg";0,365983295368261;0,435483870967742;0,41100569259962;0,311431826813521;0,380976171437286
1801;"Gersthof";0,395845213849287;0,474783974862529;0,466443220812385;0,391235312797714;0,432076930580479
1802;"Gymnasiumviertel";0,373488580385132;0,467405198125266;0,461842105263158;0,400174367916303;0,425727562922465
1803;"Kreuzgassenviertel";0,400618556701031;0,479419835358683;0,487327878666933;0,412669126691267;0,445008849354478
1804;"Kutschker- und Aumannviertel";0,366914268028474;0,517643937383921;0,539787798408488;0,454569327731092;0,469728832887994
1805;"Pötzleinsdorf";0,308812546676624;0,409282700421941;0,432326402510789;0,35873388042204;0,377288882507848
1806;"Währinger Cottage";0,346512904997254;0,411432369557993;0,435127674258109;0,356775300171527;0,387462062246221
1901;"Döbling (Zentrum)";0,435565523870554;0,507104214969384;0,499941390223889;0,412377164248947;0,463747073328194
1902;"Döblinger Cottage";0,326086956521739;0,436250555308752;0,451497541350022;0,365401987353207;0,39480926013343
1903;"Grinzing";0,391831357048748;0,429451000513084;0,434571062740077;0,345913586673607;0,400441751743879
1904;"Heiligenstadt";0,56374531835206;0,54802095459837;0,494955402836672;0,417449082767586;0,506042689638672
